issue_year,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,income_band,verification_status,purpose,addr_state,dti,dti_band,fico,revol_util,delinq_2yrs,loan_status,is_default,risk_score,risk_segment
2015,18000.00,60,19.48,471.70,E,E2,7.0,RENT,150000.00,100-150k,"Not Verified",debt_consolidation,CA,9.39,0-10,667.0,40.70,0,"Charged Off",1,3,Medium
2015,28000.00,36,6.49,858.05,A,A2,10.0,MORTGAGE,92000.00,70-100k,"Not Verified",debt_consolidation,NC,21.60,20-30,722.0,64.50,0,"Fully Paid",0,1,Low
2015,9600.00,36,7.49,298.58,A,A4,8.0,MORTGAGE,60000.00,40-70k,"Not Verified",credit_card,SC,22.44,20-30,697.0,59.40,0,"Fully Paid",0,0,Low
2015,25000.00,36,7.49,777.55,A,A4,10.0,MORTGAGE,109000.00,100-150k,"Not Verified",debt_consolidation,VA,26.02,20-30,747.0,54.30,0,"Fully Paid",0,1,Low
2015,18000.00,60,11.99,400.31,C,C1,10.0,MORTGAGE,112000.00,100-150k,"Not Verified",debt_consolidation,AZ,8.68,0-10,802.0,15.50,0,"Fully Paid",0,1,Low
2015,8650.00,36,19.89,320.99,E,E3,8.0,RENT,55000.00,40-70k,Verified,debt_consolidation,IN,25.49,20-30,677.0,46.00,0,"Fully Paid",0,4,High
2015,29900.00,60,12.88,678.49,C,C2,10.0,MORTGAGE,65000.00,40-70k,Verified,debt_consolidation,MD,21.77,20-30,717.0,46.70,0,"Fully Paid",0,1,Low
2015,16000.00,60,14.85,379.39,C,C5,10.0,MORTGAGE,48000.00,40-70k,"Not Verified",credit_card,SC,33.18,30-40,687.0,29.60,0,"Fully Paid",0,2,Medium
2015,28000.00,36,13.44,949.38,C,C3,2.0,OWN,125000.00,100-150k,"Source Verified",debt_consolidation,NY,7.49,0-10,697.0,63.10,0,"Fully Paid",0,2,Medium
2015,5000.00,36,13.44,169.54,C,C3,2.0,RENT,79000.00,70-100k,Verified,credit_card,MD,12.70,10-20,667.0,101.50,0,"Fully Paid",0,3,Medium
2015,6000.00,36,7.49,186.61,A,A4,10.0,MORTGAGE,100000.00,70-100k,"Not Verified",debt_consolidation,TX,13.28,10-20,697.0,72.00,1,"Fully Paid",0,2,Medium
2015,4225.00,36,14.85,146.16,C,C5,5.0,RENT,35000.00,<40k,"Source Verified",debt_consolidation,KS,15.22,10-20,727.0,24.60,2,"Charged Off",1,2,Medium
2015,20000.00,36,5.32,602.30,A,A1,9.0,OWN,65000.00,40-70k,"Not Verified",debt_consolidation,NY,18.83,10-20,837.0,3.00,0,"Fully Paid",0,0,Low
2015,16000.00,60,17.97,406.04,D,D4,0.0,MORTGAGE,109000.00,100-150k,"Source Verified",debt_consolidation,NM,23.35,20-30,682.0,87.60,0,"Fully Paid",0,2,Medium
2015,17600.00,36,5.32,530.03,A,A1,0.0,MORTGAGE,88000.00,70-100k,"Source Verified",credit_card,KS,26.59,20-30,782.0,34.40,0,"Fully Paid",0,1,Low
2015,15000.00,36,5.32,451.73,A,A1,10.0,MORTGAGE,44000.00,40-70k,"Source Verified",home_improvement,VA,15.34,10-20,687.0,50.30,0,"Fully Paid",0,0,Low
2015,16000.00,36,12.88,538.18,C,C2,10.0,MORTGAGE,65000.00,40-70k,"Not Verified",small_business,AL,18.96,10-20,677.0,54.30,0,"Charged Off",1,2,Medium
2015,24250.00,60,24.24,701.01,F,F3,4.0,MORTGAGE,75000.00,70-100k,"Not Verified",debt_consolidation,NY,20.84,20-30,662.0,65.30,0,"Charged Off",1,4,High
2015,12000.00,36,10.78,391.62,B,B4,1.0,RENT,98000.00,70-100k,"Not Verified",debt_consolidation,WA,24.04,20-30,692.0,62.80,0,"Fully Paid",0,1,Low
2015,25000.00,60,13.99,581.58,C,C4,9.0,MORTGAGE,79000.00,70-100k,"Not Verified",debt_consolidation,MD,34.53,30-40,732.0,18.60,0,"Charged Off",1,2,Medium
2015,7000.00,36,7.49,217.72,A,A4,10.0,MORTGAGE,59000.00,40-70k,"Not Verified",credit_card,MD,13.06,10-20,732.0,24.20,1,"Fully Paid",0,1,Low
2015,21000.00,60,13.99,488.53,C,C4,0.0,RENT,52000.00,40-70k,"Source Verified",credit_card,OH,14.47,10-20,682.0,87.40,0,"Fully Paid",0,2,Medium
2015,27500.00,60,14.85,652.06,C,C5,10.0,MORTGAGE,195000.00,150k+,"Not Verified",other,LA,6.79,0-10,702.0,50.90,0,"Fully Paid",0,1,Low
2015,7200.00,36,11.48,237.36,B,B5,10.0,MORTGAGE,72500.00,70-100k,Verified,home_improvement,GA,8.47,0-10,727.0,35.20,0,"Fully Paid",0,0,Low
2015,20000.00,36,14.85,691.84,C,C5,6.0,RENT,110000.00,100-150k,"Not Verified",credit_card,IL,12.45,10-20,692.0,84.50,0,"Fully Paid",0,2,Medium
2015,20000.00,36,15.77,700.88,D,D1,5.0,RENT,70000.00,40-70k,"Not Verified",house,FL,22.21,20-30,682.0,36.60,0,"Fully Paid",0,1,Low
2015,10000.00,60,17.97,253.78,D,D4,2.0,MORTGAGE,55000.00,40-70k,"Not Verified",credit_card,CO,35.70,30-40,687.0,78.00,0,"Charged Off",1,3,Medium
2015,20000.00,36,9.80,643.47,B,B3,5.0,RENT,75000.00,70-100k,"Not Verified",debt_consolidation,WA,23.45,20-30,727.0,9.60,0,"Fully Paid",0,0,Low
2015,8650.00,36,5.32,260.50,A,A1,0.0,MORTGAGE,100000.00,70-100k,"Not Verified",credit_card,IN,7.28,0-10,752.0,26.70,0,"Fully Paid",0,0,Low
2015,21000.00,60,13.44,482.56,C,C3,2.0,RENT,54649.00,40-70k,"Source Verified",debt_consolidation,TX,12.14,10-20,672.0,26.80,0,"Fully Paid",0,2,Medium
2015,7200.00,36,15.77,252.32,D,D1,0.0,RENT,55000.00,40-70k,"Not Verified",debt_consolidation,NY,17.35,10-20,682.0,69.00,0,"Fully Paid",0,2,Medium
2015,8800.00,36,9.80,283.13,B,B3,10.0,MORTGAGE,92000.00,70-100k,"Source Verified",credit_card,MI,5.18,0-10,667.0,76.60,0,"Fully Paid",0,2,Medium
2015,2500.00,36,17.27,89.47,D,D3,10.0,MORTGAGE,50000.00,40-70k,Verified,other,FL,17.60,10-20,672.0,31.10,3,"Fully Paid",0,3,Medium
2015,11000.00,36,9.17,350.67,B,B2,10.0,MORTGAGE,69000.00,40-70k,"Not Verified",credit_card,OH,21.34,20-30,682.0,84.80,0,"Fully Paid",0,1,Low
2015,10000.00,36,12.88,336.37,C,C2,4.0,MORTGAGE,91392.00,70-100k,"Not Verified",house,MO,9.44,0-10,712.0,41.70,0,"Fully Paid",0,1,Low
2015,28000.00,60,18.49,718.51,D,D5,10.0,MORTGAGE,75000.00,70-100k,Verified,debt_consolidation,IN,31.88,30-40,687.0,51.90,0,"Fully Paid",0,2,Medium
2015,35000.00,60,11.99,778.38,C,C1,10.0,MORTGAGE,128000.00,100-150k,"Source Verified",home_improvement,DC,6.46,0-10,687.0,27.40,0,"Fully Paid",0,1,Low
2015,7200.00,36,9.17,229.53,B,B2,10.0,MORTGAGE,50000.00,40-70k,"Not Verified",debt_consolidation,MA,19.25,10-20,677.0,47.60,0,"Fully Paid",0,1,Low
2015,10000.00,36,7.91,312.95,A,A5,2.0,RENT,40100.00,40-70k,"Not Verified",credit_card,OH,10.81,10-20,682.0,45.00,0,"Fully Paid",0,0,Low
2015,16000.00,60,13.44,367.67,C,C3,1.0,RENT,42000.00,40-70k,"Not Verified",credit_card,MA,9.60,0-10,672.0,44.80,0,"Charged Off",1,2,Medium
2015,21875.00,36,11.99,726.46,C,C1,0.0,RENT,47590.00,40-70k,"Source Verified",credit_card,FL,17.76,10-20,702.0,57.10,0,"Fully Paid",0,1,Low
2015,14025.00,60,18.49,359.90,D,D5,10.0,MORTGAGE,39000.00,<40k,Verified,debt_consolidation,WI,18.00,10-20,677.0,74.90,0,"Fully Paid",0,3,Medium
2015,35000.00,60,12.88,794.21,C,C2,7.0,MORTGAGE,106000.00,100-150k,"Source Verified",debt_consolidation,AL,17.36,10-20,732.0,72.10,0,"Charged Off",1,2,Medium
2015,20000.00,36,12.88,672.73,C,C2,10.0,MORTGAGE,145000.00,100-150k,"Not Verified",debt_consolidation,RI,12.28,10-20,697.0,80.20,0,"Fully Paid",0,2,Medium
2015,14000.00,60,14.85,331.96,C,C5,2.0,MORTGAGE,60000.00,40-70k,"Not Verified",debt_consolidation,AZ,24.29,20-30,692.0,73.90,0,"Charged Off",1,2,Medium
2015,20000.00,60,13.99,465.27,C,C4,10.0,OWN,70000.00,40-70k,"Source Verified",debt_consolidation,MD,16.90,10-20,682.0,42.00,0,"Charged Off",1,1,Low
2015,4200.00,36,13.44,142.41,C,C3,10.0,MORTGAGE,102500.00,100-150k,"Not Verified",debt_consolidation,NY,26.21,20-30,702.0,88.50,0,"Fully Paid",0,3,Medium
2015,19000.00,60,14.85,450.52,C,C5,9.0,OWN,75000.00,70-100k,"Not Verified",credit_card,NY,13.09,10-20,667.0,63.70,0,"Fully Paid",0,3,Medium
2015,15850.00,60,23.13,448.01,F,F2,10.0,OWN,45000.00,40-70k,"Not Verified",debt_consolidation,OH,34.85,30-40,757.0,21.30,0,"Fully Paid",0,3,Medium
2015,30000.00,36,15.77,1051.31,D,D1,2.0,MORTGAGE,175000.00,150k+,"Not Verified",home_improvement,OH,18.50,10-20,727.0,50.30,0,"Fully Paid",0,1,Low
2015,1500.00,36,6.49,45.97,A,A2,NULL,MORTGAGE,45000.00,40-70k,"Not Verified",vacation,HI,16.11,10-20,747.0,21.20,0,"Fully Paid",0,0,Low
2015,25000.00,36,5.32,752.87,A,A1,1.0,MORTGAGE,150000.00,100-150k,"Not Verified",credit_card,VT,9.54,0-10,797.0,42.50,0,"Fully Paid",0,0,Low
2015,20200.00,60,18.49,518.35,D,D5,4.0,RENT,60000.00,40-70k,"Source Verified",debt_consolidation,CA,34.84,30-40,722.0,40.60,0,"Charged Off",1,2,Medium
2015,23975.00,60,19.89,633.73,E,E3,10.0,RENT,70000.00,40-70k,"Not Verified",credit_card,VA,33.20,30-40,687.0,94.90,0,"Charged Off",1,4,High
2015,15000.00,60,10.78,324.50,B,B4,10.0,MORTGAGE,65000.00,40-70k,"Not Verified",debt_consolidation,AL,29.28,20-30,722.0,69.80,0,"Fully Paid",0,2,Medium
2015,10000.00,36,10.78,326.35,B,B4,3.0,MORTGAGE,41600.00,40-70k,"Not Verified",debt_consolidation,IN,15.78,10-20,697.0,52.50,0,"Fully Paid",0,0,Low
2015,15000.00,36,8.49,473.45,B,B1,6.0,MORTGAGE,110000.00,100-150k,"Not Verified",credit_card,NJ,13.24,10-20,672.0,41.40,0,"Fully Paid",0,1,Low
2015,23100.00,60,20.50,618.46,E,E4,2.0,OWN,110000.00,100-150k,"Not Verified",car,DE,20.43,20-30,662.0,94.90,0,"Charged Off",1,4,High
2015,27300.00,36,17.27,977.00,D,D3,10.0,MORTGAGE,65000.00,40-70k,"Not Verified",home_improvement,NY,25.63,20-30,662.0,83.00,0,"Charged Off",1,4,High
2015,25000.00,60,11.48,549.57,B,B5,10.0,MORTGAGE,135000.00,100-150k,"Not Verified",credit_card,TX,4.65,0-10,707.0,13.50,0,"Fully Paid",0,0,Low
2015,15000.00,36,10.78,489.52,B,B4,1.0,RENT,40000.00,<40k,Verified,credit_card,TX,10.17,10-20,672.0,75.30,0,"Fully Paid",0,2,Medium
2015,10000.00,60,16.59,246.33,D,D2,0.0,RENT,30000.00,<40k,"Source Verified",debt_consolidation,OH,30.84,30-40,717.0,26.60,0,"Fully Paid",0,2,Medium
2015,18500.00,60,12.88,419.80,C,C2,10.0,MORTGAGE,70000.00,40-70k,"Source Verified",debt_consolidation,TX,13.20,10-20,677.0,57.80,0,"Fully Paid",0,2,Medium
2015,5000.00,36,7.91,156.48,A,A5,6.0,RENT,32000.00,<40k,"Source Verified",credit_card,OH,13.73,10-20,687.0,41.10,0,"Fully Paid",0,0,Low
2015,9000.00,36,9.17,286.92,B,B2,1.0,OWN,50000.00,40-70k,"Not Verified",debt_consolidation,KS,11.98,10-20,802.0,48.50,0,"Fully Paid",0,0,Low
2015,11000.00,36,6.49,337.09,A,A2,10.0,MORTGAGE,85000.00,70-100k,"Not Verified",credit_card,MA,15.00,10-20,757.0,20.10,0,"Fully Paid",0,0,Low
2015,20000.00,36,6.49,612.89,A,A2,6.0,MORTGAGE,55000.00,40-70k,"Not Verified",debt_consolidation,TN,29.15,20-30,752.0,23.80,0,"Fully Paid",0,1,Low
2015,15000.00,36,5.32,451.73,A,A1,NULL,RENT,80000.00,70-100k,"Not Verified",debt_consolidation,VA,20.18,20-30,777.0,21.40,0,"Fully Paid",0,0,Low
2015,12000.00,36,5.32,361.38,A,A1,4.0,MORTGAGE,53750.00,40-70k,"Source Verified",debt_consolidation,AZ,15.30,10-20,702.0,17.20,1,"Fully Paid",0,1,Low
2015,8000.00,36,10.78,261.08,B,B4,0.0,MORTGAGE,45000.00,40-70k,"Not Verified",debt_consolidation,MI,21.23,20-30,672.0,35.50,0,"Fully Paid",0,1,Low
2015,12000.00,36,10.78,391.62,B,B4,3.0,RENT,40000.00,<40k,"Not Verified",credit_card,NJ,31.95,30-40,667.0,41.40,3,"Fully Paid",0,3,Medium
2015,18000.00,36,7.49,559.83,A,A4,5.0,MORTGAGE,75000.00,70-100k,"Not Verified",debt_consolidation,NH,25.65,20-30,717.0,33.20,0,"Fully Paid",0,1,Low
2015,3600.00,36,11.48,118.68,B,B5,0.0,MORTGAGE,85000.00,70-100k,"Source Verified",debt_consolidation,VA,17.44,10-20,677.0,28.70,0,"Fully Paid",0,1,Low
2015,7200.00,36,17.27,257.67,D,D3,9.0,OWN,20000.00,<40k,Verified,debt_consolidation,MA,13.21,10-20,707.0,32.60,1,"Charged Off",1,2,Medium
2015,15000.00,60,13.44,344.69,C,C3,4.0,RENT,77213.00,70-100k,"Source Verified",credit_card,FL,18.17,10-20,672.0,25.80,0,"Fully Paid",0,2,Medium
2015,5000.00,36,9.80,160.87,B,B3,6.0,OWN,72000.00,70-100k,"Not Verified",other,NC,6.52,0-10,712.0,56.30,0,"Fully Paid",0,0,Low
2015,11550.00,60,16.59,284.51,D,D2,5.0,RENT,38000.00,<40k,"Not Verified",credit_card,OH,21.07,20-30,702.0,39.70,0,"Charged Off",1,1,Low
2015,33600.00,36,10.78,1096.53,B,B4,8.0,RENT,104000.00,100-150k,"Source Verified",debt_consolidation,OH,14.01,10-20,692.0,51.80,0,"Fully Paid",0,0,Low
2015,17475.00,36,13.99,597.17,C,C4,2.0,RENT,39750.00,<40k,"Not Verified",debt_consolidation,IL,23.58,20-30,697.0,52.30,0,"Charged Off",1,1,Low
2015,9000.00,36,8.49,284.07,B,B1,8.0,MORTGAGE,47000.00,40-70k,"Not Verified",debt_consolidation,FL,8.43,0-10,677.0,26.70,0,"Fully Paid",0,1,Low
2015,12000.00,60,9.80,253.79,B,B3,10.0,MORTGAGE,65000.00,40-70k,"Not Verified",debt_consolidation,KS,23.84,20-30,787.0,13.40,0,"Fully Paid",0,0,Low
2015,4000.00,36,9.17,127.52,B,B2,2.0,RENT,44500.00,40-70k,Verified,debt_consolidation,NE,15.83,10-20,672.0,4.20,0,"Fully Paid",0,1,Low
2015,10500.00,36,15.77,367.96,D,D1,3.0,RENT,70100.00,70-100k,"Source Verified",credit_card,KS,8.51,0-10,662.0,77.40,0,"Fully Paid",0,3,Medium
2015,14000.00,36,9.80,450.43,B,B3,4.0,MORTGAGE,100000.00,70-100k,"Not Verified",medical,OH,15.97,10-20,687.0,36.10,0,"Fully Paid",0,0,Low
2015,6000.00,36,7.91,187.77,A,A5,10.0,MORTGAGE,105000.00,100-150k,"Not Verified",car,OH,14.45,10-20,687.0,65.30,0,"Fully Paid",0,1,Low
2015,15000.00,36,9.80,482.61,B,B3,3.0,MORTGAGE,92000.00,70-100k,"Not Verified",debt_consolidation,OR,13.89,10-20,682.0,35.20,0,"Fully Paid",0,0,Low
2015,12000.00,36,9.17,382.55,B,B2,4.0,MORTGAGE,39400.00,<40k,"Not Verified",debt_consolidation,CA,26.32,20-30,707.0,34.60,0,"Fully Paid",0,1,Low
2015,10000.00,36,11.48,329.67,B,B5,2.0,RENT,33000.00,<40k,"Not Verified",debt_consolidation,IN,21.75,20-30,712.0,35.60,0,"Fully Paid",0,0,Low
2015,4200.00,36,13.99,143.53,C,C4,2.0,RENT,32000.00,<40k,"Source Verified",other,TN,31.02,30-40,707.0,11.70,0,"Fully Paid",0,2,Medium
2015,35000.00,60,20.50,937.06,E,E4,8.0,MORTGAGE,120000.00,100-150k,"Source Verified",debt_consolidation,GA,35.69,30-40,702.0,32.20,1,"Fully Paid",0,4,High
2015,5475.00,36,18.99,200.67,E,E1,10.0,MORTGAGE,108000.00,100-150k,Verified,debt_consolidation,FL,33.47,30-40,672.0,41.00,4,"Charged Off",1,5,High
2015,6000.00,36,13.44,203.44,C,C3,3.0,OWN,38700.00,<40k,"Source Verified",debt_consolidation,NC,23.26,20-30,692.0,19.20,0,"Fully Paid",0,1,Low
2015,24000.00,36,9.17,765.10,B,B2,10.0,MORTGAGE,75000.00,70-100k,"Source Verified",debt_consolidation,RI,10.11,10-20,662.0,39.50,0,"Fully Paid",0,1,Low
2015,10000.00,36,12.88,336.37,C,C2,0.0,RENT,60000.00,40-70k,Verified,debt_consolidation,WA,3.30,0-10,717.0,64.10,0,"Fully Paid",0,2,Medium
2015,6900.00,36,19.89,256.05,E,E3,10.0,RENT,80000.00,70-100k,"Source Verified",debt_consolidation,NY,9.57,0-10,667.0,35.90,0,"Fully Paid",0,3,Medium
2015,15975.00,36,16.59,566.30,D,D2,4.0,MORTGAGE,58800.00,40-70k,"Not Verified",debt_consolidation,CA,20.45,20-30,667.0,71.80,0,"Fully Paid",0,3,Medium
2015,21600.00,36,13.44,732.38,C,C3,9.0,MORTGAGE,54000.00,40-70k,Verified,debt_consolidation,WI,17.64,10-20,692.0,60.80,0,"Fully Paid",0,2,Medium
2015,14400.00,60,19.48,377.36,E,E2,3.0,RENT,73320.00,70-100k,"Source Verified",debt_consolidation,NY,17.02,10-20,662.0,96.80,0,"Charged Off",1,4,High
2015,8000.00,36,13.99,273.39,C,C4,0.0,RENT,42000.00,40-70k,"Not Verified",other,OR,23.26,20-30,707.0,40.50,0,"Fully Paid",0,1,Low
2015,7000.00,36,13.99,239.21,C,C4,2.0,RENT,83000.00,70-100k,"Source Verified",debt_consolidation,DE,21.96,20-30,682.0,83.10,0,"Fully Paid",0,2,Medium
2015,20000.00,36,10.78,652.70,B,B4,0.0,OWN,55000.00,40-70k,"Not Verified",debt_consolidation,AL,36.94,30-40,742.0,43.00,0,"Fully Paid",0,1,Low
2015,25825.00,60,26.06,774.14,F,F5,6.0,RENT,68000.00,40-70k,Verified,debt_consolidation,MD,31.68,30-40,677.0,69.70,0,"Charged Off",1,5,High
2015,24575.00,60,22.45,685.04,F,F1,10.0,MORTGAGE,92000.00,70-100k,Verified,debt_consolidation,OH,24.16,20-30,727.0,79.30,0,"Fully Paid",0,3,Medium
2015,3200.00,36,8.49,101.01,B,B1,10.0,RENT,30407.00,<40k,"Not Verified",medical,MN,20.61,20-30,712.0,30.30,0,"Fully Paid",0,0,Low
2015,22875.00,60,15.77,553.49,D,D1,10.0,MORTGAGE,137000.00,100-150k,"Not Verified",debt_consolidation,CA,32.30,30-40,702.0,45.80,0,"Fully Paid",0,2,Medium
2015,35000.00,36,13.44,1186.72,C,C3,0.0,MORTGAGE,125000.00,100-150k,"Source Verified",debt_consolidation,MN,24.19,20-30,712.0,51.90,0,"Fully Paid",0,1,Low
2015,2400.00,36,17.27,85.89,D,D3,2.0,MORTGAGE,52000.00,40-70k,Verified,home_improvement,IN,28.38,20-30,672.0,41.50,1,"Fully Paid",0,4,High
2015,25000.00,36,7.49,777.55,A,A4,NULL,MORTGAGE,132000.00,100-150k,"Not Verified",debt_consolidation,MI,13.83,10-20,747.0,48.00,0,"Fully Paid",0,0,Low
2015,8800.00,36,12.88,296.00,C,C2,2.0,RENT,55000.00,40-70k,"Not Verified",credit_card,MA,35.52,30-40,717.0,37.50,0,"Fully Paid",0,2,Medium
2015,2500.00,36,11.48,82.42,B,B5,NULL,RENT,16488.00,<40k,"Not Verified",debt_consolidation,CT,38.06,30-40,772.0,8.20,0,"Fully Paid",0,1,Low
2015,8000.00,36,5.32,240.92,A,A1,1.0,RENT,50000.00,40-70k,"Not Verified",credit_card,MI,14.86,10-20,717.0,35.10,1,"Fully Paid",0,1,Low
2015,20000.00,36,11.99,664.20,C,C1,10.0,MORTGAGE,78000.00,70-100k,"Not Verified",debt_consolidation,AL,27.10,20-30,707.0,48.20,0,"Charged Off",1,2,Medium
2015,35000.00,60,12.88,794.21,C,C2,10.0,MORTGAGE,110000.00,100-150k,"Source Verified",major_purchase,MD,13.39,10-20,697.0,47.20,0,"Charged Off",1,1,Low
2015,15000.00,36,7.49,466.53,A,A4,NULL,MORTGAGE,45000.00,40-70k,Verified,debt_consolidation,CA,10.67,10-20,712.0,43.50,3,"Fully Paid",0,1,Low
2015,16000.00,36,15.77,560.70,D,D1,1.0,MORTGAGE,70000.00,40-70k,"Not Verified",debt_consolidation,NJ,8.78,0-10,707.0,76.10,0,"Charged Off",1,2,Medium
2015,10800.00,60,13.99,251.25,C,C4,3.0,RENT,40000.00,<40k,"Source Verified",debt_consolidation,FL,26.13,20-30,667.0,71.20,0,"Fully Paid",0,4,High
2015,7500.00,36,17.97,271.04,D,D4,10.0,OWN,15000.00,<40k,"Source Verified",debt_consolidation,FL,37.20,30-40,687.0,66.70,0,"Fully Paid",0,3,Medium
2015,16000.00,36,10.78,522.16,B,B4,5.0,RENT,63000.00,40-70k,"Not Verified",debt_consolidation,NY,35.19,30-40,672.0,46.00,0,"Charged Off",1,2,Medium
2015,9000.00,36,5.32,271.04,A,A1,10.0,MORTGAGE,49000.00,40-70k,"Not Verified",credit_card,CA,21.63,20-30,757.0,11.70,0,"Fully Paid",0,0,Low
2015,9500.00,36,15.77,332.92,D,D1,10.0,RENT,28000.00,<40k,"Not Verified",other,MI,27.95,20-30,697.0,55.90,0,"Fully Paid",0,2,Medium
2015,10000.00,36,7.91,312.95,A,A5,2.0,OWN,25000.00,<40k,"Not Verified",debt_consolidation,CA,29.91,20-30,742.0,22.90,0,"Charged Off",1,1,Low
2015,6000.00,36,7.91,187.77,A,A5,10.0,MORTGAGE,49000.00,40-70k,"Not Verified",debt_consolidation,CO,17.92,10-20,797.0,4.40,0,"Fully Paid",0,0,Low
2015,15600.00,60,13.44,358.48,C,C3,10.0,MORTGAGE,52000.00,40-70k,"Not Verified",major_purchase,NY,15.37,10-20,722.0,69.30,0,"Fully Paid",0,2,Medium
2015,35000.00,36,8.49,1104.71,B,B1,0.0,OWN,90000.00,70-100k,"Source Verified",debt_consolidation,CA,13.36,10-20,752.0,42.90,0,"Fully Paid",0,0,Low
2015,5000.00,36,11.48,164.84,B,B5,9.0,MORTGAGE,78000.00,70-100k,"Not Verified",debt_consolidation,TX,21.21,20-30,702.0,54.30,0,"Fully Paid",0,0,Low
2015,20400.00,60,18.49,523.48,D,D5,2.0,MORTGAGE,75000.00,70-100k,"Source Verified",credit_card,AR,38.65,30-40,727.0,42.60,2,"Fully Paid",0,3,Medium
2015,8000.00,36,17.97,289.10,D,D4,NULL,MORTGAGE,33130.00,<40k,"Not Verified",debt_consolidation,LA,11.52,10-20,667.0,27.40,1,"Charged Off",1,3,Medium
2015,16000.00,36,10.78,522.16,B,B4,3.0,RENT,87500.00,70-100k,"Not Verified",debt_consolidation,IL,13.74,10-20,697.0,83.90,0,"Fully Paid",0,1,Low
2015,18000.00,36,7.91,563.31,A,A5,10.0,MORTGAGE,80000.00,70-100k,"Not Verified",debt_consolidation,PA,15.56,10-20,742.0,82.60,0,"Charged Off",1,1,Low
2015,35000.00,36,9.17,1115.77,B,B2,1.0,RENT,105000.00,100-150k,"Source Verified",debt_consolidation,FL,25.07,20-30,692.0,85.00,0,"Fully Paid",0,2,Medium
2015,13150.00,36,5.32,396.01,A,A1,1.0,RENT,40000.00,<40k,"Not Verified",major_purchase,TX,20.25,20-30,767.0,20.10,0,"Fully Paid",0,0,Low
2015,5600.00,36,9.17,178.53,B,B2,8.0,RENT,48000.00,40-70k,"Source Verified",credit_card,TX,19.85,10-20,662.0,64.80,0,"Fully Paid",0,2,Medium
2015,23000.00,36,9.80,739.99,B,B3,9.0,MORTGAGE,90247.00,70-100k,"Not Verified",credit_card,VA,17.09,10-20,682.0,41.30,0,"Fully Paid",0,0,Low
2015,12600.00,60,14.85,298.77,C,C5,1.0,MORTGAGE,175000.00,150k+,"Not Verified",credit_card,MD,11.75,10-20,692.0,47.50,0,"Fully Paid",0,1,Low
2015,11000.00,36,16.59,389.94,D,D2,8.0,MORTGAGE,55000.00,40-70k,"Source Verified",debt_consolidation,IL,16.85,10-20,737.0,61.10,0,"Fully Paid",0,2,Medium
2015,4000.00,36,11.99,132.84,C,C1,3.0,RENT,41501.00,40-70k,"Source Verified",debt_consolidation,NY,12.90,10-20,687.0,36.30,0,"Fully Paid",0,1,Low
2015,20000.00,36,11.48,659.33,B,B5,5.0,RENT,60000.00,40-70k,"Not Verified",debt_consolidation,VA,22.62,20-30,687.0,61.50,0,"Fully Paid",0,1,Low
2015,10000.00,36,9.17,318.79,B,B2,10.0,MORTGAGE,59307.00,40-70k,"Not Verified",credit_card,OH,32.70,30-40,692.0,59.50,1,"Fully Paid",0,2,Medium
